Title,wd:paintingID,depicts
Charles IV of Spain and his family,Q920030,"['Q186256', 'Q229854', 'Q233196', 'Q233587', 'Q233603', 'Q343621', 'Q352200', 'Q444290', 'Q462892', 'Q594890', 'Q604419', 'Q751275', 'Q1335445', 'Q1683024', 'Q1796163', 'Q2630473', 'Q3305213', 'Q4064508', 'Q31931611', 'Q467', 'Q3010', 'Q3031', 'Q5432', 'Q7569', 'Q8436', 'Q8441', 'Q116']"
Noli Me Tangere,Q124362,"['Q467', 'Q14130', 'Q63070']"
"Summer, or The Harvest",Q5849818,"['Q107293', 'Q234668', 'Q336989', 'Q726', 'Q1313', 'Q8441', 'Q23413']"
Rest on the Flight into Egypt,Q20175244,"['Q201097', 'Q942467', 'Q3537778', 'Q345']"
The Defense of Cadiz against the English,Q5801323,"['Q80151', 'Q81103', 'Q131559', 'Q181469', 'Q1075310', 'Q2167774', 'Q2207370', 'Q3579211', 'Q50414774', 'Q11446', 'Q12791', 'Q12796', 'Q14660', 'Q15026', 'Q44475']"
The Seven Deadly Sins and the Four Last Things,Q2304870,"['Q166502', 'Q1219811']"
The nude maja,Q152867,['Q22808839']
The Extraction of the Stone Madness,Q2270768,"['Q148993', 'Q160091', 'Q167633', 'Q175185', 'Q200334', 'Q207172', 'Q209542', 'Q243778', 'Q273761', 'Q472953', 'Q505619', 'Q595942', 'Q643352', 'Q733786', 'Q774306', 'Q1144593', 'Q1986098', 'Q2207370', 'Q6933946', 'Q7777019', 'Q7930989', 'Q467', 'Q506', 'Q527', 'Q571', 'Q4421', 'Q8441', 'Q14748', 'Q29957']"
Saturn Devouring His Son,Q1150997,"['Q134388', 'Q6000508', 'Q7873', 'Q23852', 'Q4', 'Q34726', 'Q44204', 'Q44595']"
Hercules Fighting with the Hydra of Lernea,Q5906551,"['Q122248', 'Q170379', 'Q504076', 'Q650711', 'Q3196']"
St. Rufina of Seville,Q77992354,"['Q200539', 'Q96952903', 'Q467', 'Q43115']"
The Garden of Earthly Delights,Q321303,"['Q83310', 'Q157952', 'Q170984', 'Q201251', 'Q207766', 'Q862089', 'Q1107656', 'Q2423874', 'Q3352472', 'Q3537778', 'Q4489450', 'Q8021345', 'Q14458220', 'Q564', 'Q726', 'Q825', 'Q1845', 'Q2102', 'Q5113', 'Q7246', 'Q7375', 'Q7378', 'Q8063', 'Q8074', 'Q9394', 'Q10884', 'Q12507', 'Q19014', 'Q23397', 'Q5', 'Q140', 'Q165', 'Q190', 'Q196', 'Q58701']"
The Triumph of Death,Q644856,"['Q101401', 'Q161936', 'Q168983', 'Q179904', 'Q180733', 'Q207651', 'Q207821', 'Q209554', 'Q213761', 'Q215548', 'Q243778', 'Q564910', 'Q657221', 'Q751884', 'Q962104', 'Q1250916', 'Q1662735', 'Q1368', 'Q10289', 'Q11411', 'Q12097', 'Q13147', 'Q40847', 'Q45722']"
The Virgin and the Child,Q27696854,"['Q170984', 'Q235113', 'Q461585', 'Q942467', 'Q345']"
The Surgeon,Q5853603,"['Q80228', 'Q191808', 'Q207172', 'Q335201', 'Q774306', 'Q49848']"
Adoration by the Shepherds,Q27700094,"['Q81710', 'Q373017', 'Q942467', 'Q3537778', 'Q345', 'Q2934', 'Q34379']"
Hunt at the Castle of Torgau in honour of Charles V,Q27697934,"['Q181947', 'Q506182', 'Q31931611', 'Q726', 'Q10884', 'Q14659', 'Q23390', 'Q23413', 'Q32500', 'Q144', 'Q44475']"
Lucrezia di Baccio del Fede,Q27697313,"['Q188830', 'Q189299', 'Q200539']"
Triptych of the Virgin's Life,Q17036232,"['Q154326', 'Q235113', 'Q851918', 'Q942467', 'Q302', 'Q345', 'Q51671']"
The Straw Manikin,Q952796,"['Q6749621', 'Q467', 'Q5852']"
Adoration of the Magi Triptych,Q14858463,"['Q942467', 'Q987767', 'Q3537778', 'Q11748378', 'Q12888135', 'Q345', 'Q14660', 'Q42603']"
Still Life with Pots,Q6038780,"['Q191851', 'Q210723', 'Q3399907', 'Q96952903', 'Q57216']"
Self-Portrait,Q2388965,"['Q5580', 'Q8441']"
David and Goliath,Q2270955,"['Q192785', 'Q8441', 'Q23640', 'Q41370', 'Q48422']"
The Third of May 1808,Q1091086,"['Q124072', 'Q161936', 'Q181146', 'Q216169', 'Q821952', 'Q1125062', 'Q4991371']"
The Three Ages of Man and Death,Q4462828,"['Q76469', 'Q80994', 'Q130912', 'Q161936', 'Q175185', 'Q179904', 'Q188641', 'Q202466', 'Q327496', 'Q349185', 'Q595942', 'Q843533', 'Q1986098', 'Q2191986', 'Q3039121', 'Q6933946', 'Q17245659', 'Q405', 'Q467', 'Q527', 'Q564', 'Q3031', 'Q7569', 'Q8074', 'Q8502', 'Q9103', 'Q10791', 'Q10884', 'Q12518', 'Q14130', 'Q20460', 'Q43748', 'Q43801', 'Q44475', 'Q48422']"
The Surrender of Breda,Q1133420,"['Q80151', 'Q124072', 'Q132041', 'Q359936', 'Q431488', 'Q3769366', 'Q4991371', 'Q50414774', 'Q726', 'Q12791', 'Q14660', 'Q44475']"
The Pearl of Brabant,Q27518363,"['Q193507', 'Q488841', 'Q66481349', 'Q40662']"
The Werl Triptych,Q3136106,"['Q188669', 'Q199657', 'Q4575936', 'Q345', 'Q35197', 'Q35473', 'Q40953']"
Apparition of the Apostle Peter to Saint Peter Nolasco,Q8202299,"['Q392371', 'Q468802', 'Q33923']"