Entity,Super
Q103914748,"['Q103997018', 'Q104007623', 'Q24017414']"
Q66545297,['Q66545295']
Q712378,"['Q4936952', 'Q103914748']"
Q25570959,"['Q4936952', 'Q104030742']"
Q66545295,['Q712378']
Q1310239,"['Q337060', 'Q15989253']"
Q207174,"['Q182545', 'Q1406161', 'Q15619164']"
Q634304,['Q2803758']
Q3658341,['Q95074']
Q636497,"['Q4897819', 'Q4070702']"
Q182545,"['Q151885', 'Q1762471', 'Q12767945']"
Q2803758,['Q178885']
Q4070702,['Q131714']
Q1762471,"['Q560311', 'Q11177771', 'Q12767945']"
Q12767945,"['Q151885', 'Q20817253']"
Q131714,['Q21146257']
Q3839081,"['Q813912', 'Q1132455', 'Q1190554', 'Q1931388', 'Q1920219']"
Q1132455,"['Q3505845', 'Q5422048']"
Q1920219,['Q621184']
Q5422048,"['Q104493', 'Q2135465', 'Q101208084']"
Q621184,['Q813912']
Q212238,"['Q572700', 'Q703534', 'Q382887', 'Q28640', 'Q80363469']"
Q57735705,['Q215627']
Q572700,"['Q16532929', 'Q28640']"
Q382887,"['Q599151', 'Q12737077', 'Q28640']"
Q80363469,"['Q12737077', 'Q703534']"
Q16532929,"['Q1162163', 'Q4164871', 'Q12737077']"
Q852998,['Q35120']
Q327055,"['Q215627', 'Q12737077']"
Q599151,"['Q212238', 'Q4164871', 'Q12737077']"
Q16532276,"['Q1914636', 'Q6958747', 'Q61788060', 'Q35120']"
Q189970,['Q11424100']
Q1414937,"['Q215627', 'Q12737077']"
Q17305127,['Q32859534']
Q32090,"['Q3769299', 'Q24034076']"
Q32859534,['Q14136353']
Q24034076,['Q7155']
Q14136353,"['Q14897293', 'Q15831596']"
Q7155,"['Q475042', 'Q431', 'Q99397804']"
Q65516030,"['Q1254773', 'Q230262', 'Q55724836']"
Q1254773,"['Q16889133', 'Q19361238', 'Q24017414']"
Q230262,['Q1798603']
Q55724836,"['Q1254773', 'Q55724833']"
Q1798603,"['Q1254773', 'Q1051772']"
Q55724833,"['Q1254773', 'Q30038759']"
Q138858,"['Q12737077', 'Q713200', 'Q28640']"
Q12406482,"['Q482980', 'Q483501', 'Q28640', 'Q58968']"
Q16335296,['Q28640']
Q2429735,"['Q2914170', 'Q16335296']"
Q713200,"['Q483501', 'Q28640']"
Q482980,"['Q2500638', 'Q12737077']"
Q483501,"['Q702269', 'Q12737077', 'Q28640']"
Q58968,"['Q4964182', 'Q28640']"
Q2914170,"['Q2207288', 'Q3391743', 'Q713200', 'Q28640']"
Q2500638,"['Q702269', 'Q12737077', 'Q13235160']"
Q702269,"['Q12737077', 'Q5']"
Q4964182,"['Q16727193', 'Q28640']"
Q2207288,"['Q1914636', 'Q29028649']"
Q3391743,"['Q483501', 'Q88789639']"
Q57306162,"['Q1254773', 'Q230262', 'Q55724840']"
Q55724840,"['Q1254773', 'Q55724833']"
Q11712894,"['Q173453', 'Q52954']"
Q11405,"['Q181247', 'Q1254773', 'Q173453']"
Q173453,"['Q1254773', 'Q659216']"
Q52954,"['Q1254773', 'Q34379']"
Q181247,"['Q1254773', 'Q659216']"
Q659216,"['Q1254773', 'Q34379']"
Q30038759,"['Q1254773', 'Q1808578']"
Q35874,"['Q483394', 'Q1149305', 'Q9332']"
Q1149305,['Q55919789']
Q55919789,"['Q1207505', 'Q33104279', 'Q18603648', 'Q21170479']"
Q180744,"['Q1254773', 'Q173453']"
Q55721729,"['Q1254773', 'Q30038792']"
Q30038792,"['Q1254773', 'Q19462049']"
Q19462049,"['Q1254773', 'Q5280486']"
Q250867,"['Q831474', 'Q105200214', 'Q42603', 'Q63188808']"
Q63188808,"['Q151885', 'Q4164871', 'Q24017414', 'Q63188683']"
Q831474,"['Q1423891', 'Q63188683', 'Q42603']"
Q105200214,"['Q105200223', 'Q63188808']"
Q1423891,"['Q3315492', 'Q105200223', 'Q63188683']"
Q105200223,"['Q2259532', 'Q63188683']"
Q2259532,"['Q4504549', 'Q17573152', 'Q63187345']"
Q193291,"['Q4271324', 'Q15619164', 'Q28855038']"
Q42104541,"['Q1977474', 'Q28855038']"
Q1977474,"['Q1503443', 'Q23847174']"
Q28020127,"['Q2593744', 'Q30017383', 'Q15831596']"
Q1503443,"['Q100195948', 'Q100171002']"
Q2593744,"['Q95074', 'Q15831596']"
Q30017383,"['Q14897293', 'Q15831596']"
Q16896124,"['Q987767', 'Q28367692']"
Q28367692,"['Q19829125', 'Q4406616']"
Q19829125,"['Q16889133', 'Q33104279']"
Q657709,"['Q987767', 'Q834028']"
Q95685937,['Q987767']
Q190087,"['Q175263', 'Q96253971']"
Q31464082,['Q488383']
Q3315492,"['Q2259532', 'Q63188683']"
Q192296,"['Q877729', 'Q8187769', 'Q10988986', 'Q7708485', 'Q29584262']"
Q877729,"['Q1914636', 'Q29028649']"
Q10988986,"['Q1792379', 'Q3249551', 'Q1914636']"
Q7708485,"['Q3249551', 'Q1914636']"
Q29584262,"['Q187939', 'Q8187769']"
Q2976602,"['Q5333554', 'Q36524']"
Q5333554,['Q24249534']
Q187939,"['Q7406919', 'Q8187769', 'Q4459228', 'Q10843872']"
Q267228,['Q1183543']
Q12059906,"['Q131512', 'Q2207288', 'Q28640', 'Q838811']"
Q131512,"['Q3485549', 'Q19261760']"
Q838811,"['Q131512', 'Q2207288', 'Q657326', 'Q12737077']"
Q3485549,"['Q6958747', 'Q192581']"
Q19261760,"['Q100529537', 'Q28640']"
Q657326,['Q187588']
Q1797813,['Q729']
Q30750835,['Q1194773']
Q39201,"['Q622852', 'Q26401003', 'Q57812559', 'Q28877']"
Q26401003,"['Q795052', 'Q18336849', 'Q729']"
Q4470686,['Q838948']
Q3575260,['Q2142903']
Q2142903,['Q362200']
Q1196129,"['Q954007', 'Q5']"
Q954007,['Q11666901']
Q11666901,['Q171318']
Q171318,"['Q874405', 'Q853725']"
Q375011,"['Q200538', 'Q132241', 'Q1445650']"
Q98183947,['Q13475159']
Q22704077,"['Q1406161', 'Q1758354', 'Q1318295']"
Q200538,['Q1656682']
Q132241,"['Q15275719', 'Q43229']"
Q1445650,"['Q15275719', 'Q14795564']"
Q13475159,['Q1445650']
Q1758354,"['Q6647660', 'Q33005760']"
Q1318295,"['Q223393', 'Q1437361', 'Q17537576', 'Q4263830']"
Q14795564,['Q1190554']
Q33005760,"['Q223393', 'Q22908314', 'Q11024']"
Q1437361,"['Q2085518', 'Q104624828']"
Q9415,"['Q282250', 'Q781413']"
Q282250,['Q35120']
Q13002315,['Q21070598']
Q6567237,"['Q717040', 'Q25810847']"
Q717040,['Q82821']
Q25810847,['Q95074']
Q82821,['Q251777']
Q23010327,"['Q24017414', 'Q15831596']"
Q855680,"['Q168658', 'Q179700']"
Q11375911,"['Q3148761', 'Q11784425']"
Q168658,['Q11422']
Q179700,"['Q860861', 'Q18783400']"
Q3148761,['Q6806548']
Q11784425,"['Q1979154', 'Q8205328']"
Q11422,"['Q2424752', 'Q17537576']"
Q860861,"['Q4502142', 'Q1746392', 'Q35459920']"
Q18783400,['Q1792379']
Q6806548,['Q178659']
Q1979154,"['Q4393498', 'Q41719']"
Q1762457,['Q796635']
Q796635,"['Q2424752', 'Q8205328', 'Q1485500', 'Q69016679', 'Q59095968']"
Q1485500,"['Q337060', 'Q223557', 'Q28877']"
Q69016679,['Q6657015']
Q59095968,"['Q268592', 'Q2184715', 'Q82604', 'Q631931', 'Q29028649']"
Q830,"['Q57814795', 'Q55983715']"
Q20087093,"['Q1146001', 'Q32914898']"
Q1146001,['Q31464082']
Q32914898,['Q8205328']
Q2453629,"['Q851782', 'Q987767']"
Q17379796,['Q56612157']
Q851782,"['Q1521410', 'Q22809652']"
Q56612157,"['Q987767', 'Q56627913']"
Q1521410,"['Q1357761', 'Q26037047']"
Q22809652,['Q1836700']
Q99513137,['Q851782']
Q2366864,"['Q154038', 'Q60310748']"
Q3773693,['Q1521410']
Q17379525,"['Q2424752', 'Q22809652']"
Q45621,"['Q2424752', 'Q230855', 'Q16829513', 'Q11438']"
Q154038,"['Q987767', 'Q1521410']"
Q60310748,['Q96952903']
Q230855,"['Q151885', 'Q937228', 'Q3505845']"
Q16829513,['Q214609']
Q11438,"['Q4437984', 'Q15831576', 'Q35758', 'Q11430']"
Q26037047,['Q39546']
Q1836700,"['Q2424752', 'Q8205328']"
Q4437984,"['Q79529', 'Q1704572']"
Q11430,"['Q104837', 'Q4373292']"
Q17781690,"['Q4936952', 'Q103914748', 'Q27062218']"
Q188193,"['Q4936952', 'Q103914748', 'Q30336093']"
Q27062218,"['Q4936952', 'Q104007623', 'Q20088819']"
Q20088819,['Q16887380']
Q2937981,['Q55082364']
Q55082364,['Q170494']
Q2862124,"['Q15142889', 'Q12796']"
Q1138737,"['Q1146001', 'Q815738', 'Q8205328', 'Q14745']"
Q815738,"['Q1357761', 'Q13402900', 'Q22809652']"
Q13402900,['Q31464082']
Q124734,"['Q180684', 'Q13418847']"
Q15169167,"['Q1799072', 'Q1931388']"
Q15747939,"['Q15169167', 'Q2140674', 'Q8454']"
Q1799072,"['Q2695280', 'Q16686448', 'Q104637332']"
Q2140674,"['Q1064904', 'Q1931388', 'Q7162621']"
Q8454,"['Q1763090', 'Q1931388', 'Q186361', 'Q149086']"
Q1064904,"['Q481609', 'Q193078']"
Q7162621,['Q193078']
Q1763090,"['Q3769186', 'Q49848']"
Q186361,"['Q4026292', 'Q2995644']"
Q11499147,"['Q12737077', 'Q15253558']"
Q15253558,"['Q937228', 'Q215627', 'Q2393196', 'Q12737077', 'Q17342249']"
Q17342249,"['Q1519259', 'Q9332']"
Q5962346,"['Q6423319', 'Q23958852']"
Q9081,"['Q33104279', 'Q54989186', 'Q104127086']"
Q55597235,"['Q207961', 'Q7239']"
Q309314,"['Q937228', 'Q246672']"
Q71550118,"['Q15619164', 'Q71758646']"
Q71758646,['Q24017414']
Q192276,"['Q5165061', 'Q11348', 'Q95744479']"
Q30337748,"['Q107715', 'Q71758646']"
Q181175,"['Q107715', 'Q1289248', 'Q71758646']"
Q104054982,"['Q19361238', 'Q1757074', 'Q24017414']"
Q53617489,['Q103940464']
Q2862130,['Q728']
Q66558307,['Q66557754']
Q66557754,['Q66570572']
Q66570572,['Q66511775']
Q9069454,[]
Q23786,"['Q1211967', 'Q104053', 'Q18534278']"
Q1211967,['Q1207505']
Q104053,['Q1207505']
Q18534278,['Q17781690']
Q206718,"['Q4936952', 'Q66558307']"
Q1231896,"['Q739302', 'Q26904132']"
Q739302,['Q3249551']
Q26904132,['Q11177771']
Q11177771,['Q2695280']
Q58415929,['Q35120']
Q2537,['Q1297322']
Q1297322,"['Q3132741', 'Q6999']"
Q3132741,"['Q17444909', 'Q6999']"
Q6999,"['Q17334923', 'Q17444909', 'Q223557', 'Q4235019']"
Q21550515,['Q8205328']
Q40843,"['Q80071', 'Q1229071', 'Q815741', 'Q60469796']"
Q1229071,"['Q68614425', 'Q55412936']"
Q815741,"['Q207961', 'Q36161']"
Q60469796,['Q80071']
Q1847641,"['Q1784017', 'Q18534278']"
Q66568682,['Q66543709']
Q1784017,['Q1517875']
Q66543709,['Q27058128']
Q1517875,"['Q181497', 'Q67014925']"
Q27058128,['Q27058129']
Q189961,"['Q754845', 'Q66592183']"
Q754845,"['Q4936952', 'Q9647', 'Q66502806']"
Q66592183,['Q66592073']
Q9647,"['Q4936952', 'Q24060765']"
Q66502806,['Q62122079']
Q66592073,['Q27162596']
Q66511775,['Q66600683']
Q206060,['Q40397']
Q66511773,['Q66600683']
Q40397,"['Q4936952', 'Q289472', 'Q103914748', 'Q20088819', 'Q27062218']"
Q66600683,['Q66516387']
Q66516387,['Q66596064']
Q2000344,['Q1799072']
Q66740226,['Q12812139']
Q2200417,"['Q2996394', 'Q781413']"
Q811909,"['Q1310239', 'Q16686448']"
Q65037298,['Q811909']
Q391414,"['Q618123', 'Q3955017', 'Q19603939']"
Q3955017,['Q2424752']
Q19603939,"['Q8205328', 'Q811430']"
Q12038335,"['Q1516282', 'Q20056177', 'Q729']"
Q7368,"['Q1797813', 'Q69301705', 'Q57814795', 'Q59099', 'Q55983715']"
Q69301705,"['Q842175', 'Q55983715']"
Q59099,['Q72638']
Q842175,['Q7377']
Q56055944,['Q21146257']
Q735,"['Q3249551', 'Q1914636', 'Q2018526', 'Q4671286', 'Q184872']"
Q6486703,['Q2018526']
Q68614425,"['Q15989253', 'Q17537576', 'Q151885']"
Q55412936,[]
Q24027474,"['Q23959932', 'Q24027515']"
Q6423319,"['Q340169', 'Q386724', 'Q1151067', 'Q1979154', 'Q3622126', 'Q96116695']"
Q104127086,"['Q12488383', 'Q11028']"
Q23960977,"['Q35120', 'Q23958852']"
Q24027515,"['Q23959932', 'Q24027526']"
Q1969448,"['Q151885', 'Q2944660']"
Q104086571,"['Q217594', 'Q24017414']"
Q101072,"['Q1200750', 'Q2684591']"
Q4393498,['Q930933']
Q2135465,"['Q151885', 'Q76419834']"
Q902805,['Q7239']
Q52063183,['Q11430']
Q816264,"['Q475023', 'Q2465832']"
Q395,"['Q475023', 'Q816264', 'Q4671286', 'Q11862829', 'Q41511']"
Q5165061,['Q1657198']
Q11348,"['Q130901', 'Q629085', 'Q1756942', 'Q24034552']"
Q95744479,"['Q21855572', 'Q22963169']"
Q1289248,"['Q1325769', 'Q2091629', 'Q2204117']"
Q1757074,"['Q1304193', 'Q23008367']"
Q103940464,['Q23958946']
Q560311,['Q11177771']
Q20817253,"['Q151885', 'Q29651519']"
Q2944660,['Q111352']
Q17444909,"['Q16889133', 'Q96251598', 'Q24017414']"
Q4235019,['Q488383']
Q27096220,['Q27096213']
Q62122079,['Q27162596']
Q27162596,"['Q4936952', 'Q27062218', 'Q103914748']"
Q181497,['Q13167784']
Q67014925,['Q66615932']
Q27058129,['Q27058130']
Q13167784,['Q485680']
Q66615932,['Q64732777']
Q27058130,"['Q27043948', 'Q104008702', 'Q104007623']"
Q66596064,['Q42349081']
Q42349081,"['Q103914748', 'Q4936952']"
Q28728771,['Q28732711']
Q79529,"['Q17339814', 'Q28732711', 'Q43460564']"
Q1704572,['Q35120']
Q9128,['Q11386']
Q475023,"['Q336', 'Q2465832']"
Q2465832,"['Q11862829', 'Q5962346', 'Q24017414']"
Q41511,['Q3144351']
Q1657198,['Q11348']
Q130901,['Q203066']
Q629085,['Q54940067']
Q1756942,['Q130901']
Q21855572,"['Q96251598', 'Q7184903']"
Q22963169,['Q215111']
Q1325769,['Q188524']
Q2091629,"['Q151885', 'Q937228']"
Q2204117,['Q188524']
Q1304193,"['Q77730568', 'Q246672', 'Q379825']"
Q23008367,"['Q1329540', 'Q44946']"
Q174984,"['Q107715', 'Q2150504', 'Q42848']"
Q22299433,['Q2996394']
Q844482,"['Q124490', 'Q4026292']"
Q2438541,['Q1931388']
Q74948922,['Q4']
Q595523,['Q9081']
Q52948,['Q4026292']
Q1413287,"['Q205961', 'Q527091', 'Q2015382']"
Q6031064,"['Q23009552', 'Q52948']"
Q921513,"['Q22272508', 'Q22294683', 'Q9332', 'Q2996394']"
Q28921572,['Q35758']
Q26902962,['Q2897903']
Q27478161,"['Q1485500', 'Q26988402']"
Q82042,['Q16889133']
Q29888377,['Q3257782']
Q853725,"['Q930933', 'Q11862829']"
Q17351672,['Q11410']
Q476300,"['Q52948', 'Q1139327']"
Q6666023,"['Q79782', 'Q193514']"
Q1051772,"['Q34379', 'Q1254773']"
Q1808578,"['Q19588495', 'Q1254773']"
Q13235160,"['Q214339', 'Q31464082']"
Q16727193,"['Q1650915', 'Q20826540', 'Q28640']"
Q88789639,"['Q28640', 'Q19361238']"
Q18603648,"['Q813912', 'Q1207505']"
Q21170479,['Q1207505']
Q36524,['Q1469824']
Q24249534,['Q5962346']
Q7406919,"['Q451967', 'Q2897903', 'Q58415929']"
Q4459228,"['Q739302', 'Q8148']"
Q10843872,['Q104637425']
Q4419563,['Q3249551']
Q22908314,['Q367293']
Q2085518,['Q36993249']
Q104624828,"['Q937228', 'Q2085518', 'Q21146257']"
Q1746392,['Q4989906']
Q35459920,['Q488383']
Q178659,"['Q478798', 'Q4502142']"
Q41719,"['Q108163', 'Q321703']"
Q6657015,"['Q16798631', 'Q39546']"
Q268592,"['Q58778', 'Q5962346', 'Q29028649']"
Q82604,"['Q1914636', 'Q3249551', 'Q1047113']"
Q631931,"['Q1792379', 'Q11862829', 'Q735']"
Q481609,"['Q3249551', 'Q47496130']"
Q193078,"['Q481609', 'Q2057971']"
Q3769186,['Q327000']
Q2995644,['Q733541']
Q2018526,"['Q80083', 'Q3958441', 'Q11862829']"
Q184872,['Q61788060']
Q175263,['Q494823']
Q67518978,['Q35120']
Q79719,"['Q93288', 'Q3312801']"
Q374814,['Q104637332']
Q601401,"['Q268592', 'Q23009552']"
Q55645123,"['Q2169973', 'Q4260475']"
Q21484471,"['Q191928', 'Q14946528', 'Q50081413']"
Q3958441,"['Q58778', 'Q5962346', 'Q29028649']"
Q187931,"['Q1786828', 'Q12767945', 'Q20817253']"
Q3265221,"['Q744778', 'Q23009459']"
Q7302601,"['Q189970', 'Q83493482']"
Q1860557,"['Q151885', 'Q20679883']"
Q15198957,['Q2198779']
Q173799,"['Q1914636', 'Q8148']"
Q11461,"['Q3882459', 'Q19829125']"
Q863900,['Q1318295']
Q27303911,"['Q27276270', 'Q33027691']"
Q177646,"['Q3965271', 'Q36161', 'Q130901']"
Q66707394,['Q36161']
Q1510587,['Q3552958']
Q2498782,"['Q3552958', 'Q24034552']"
Q583034,['Q179899']
Q290618,['Q179899']
Q859275,['Q179899']
Q970119,['Q179899']
Q65943,"['Q108163', 'Q2684591', 'Q20665666']"
Q284347,['Q1148924']
Q8778429,['Q1148924']
Q15841121,['Q179899']
Q179899,['Q472971']
Q7048762,['Q179899']
Q926996,['Q179899']
Q680081,['Q179899']
Q936155,['Q179899']
Q168344,['Q179899']
Q648995,['Q1155772']
Q973321,['Q125539']
Q104493,"['Q1202245', 'Q13649246', 'Q21170479']"
Q101208084,"['Q21146257', 'Q19361238']"
Q837171,"['Q7406919', 'Q25351891', 'Q268592', 'Q8187769']"
Q5280486,"['Q133163', 'Q12639', 'Q1254773']"
Q1162163,"['Q4164871', 'Q12737077', 'Q28640', 'Q978044', 'Q2462658', 'Q25713832', 'Q59260362']"
Q6958747,"['Q1914636', 'Q33104129']"
Q11424100,"['Q4897819', 'Q4167410']"
Q475042,['Q60680430']
Q431,"['Q420', 'Q4671286', 'Q11862829']"
Q99397804,"['Q28598684', 'Q24017414']"
Q100195948,['Q1207505']
Q100171002,['Q30028999']
Q100529537,"['Q24017414', 'Q16889133']"
Q251777,"['Q1299714', 'Q657069']"
Q104837,['Q230875']
Q1519259,"['Q9420', 'Q35120']"
Q2515887,"['Q4026292', 'Q2083958']"
Q21281405,['Q17442446']
Q2742167,"['Q177634', 'Q43229', 'Q2135465', 'Q23847174']"
Q1454986,"['Q58778', 'Q96116695']"
